"","V1","V2","V3","V4","V5"
"1",2634,23,111,36,0
"2",2573,28,162,38,3
"3",2543,33,182,41,6
"4",2506,38,208,44,9
"5",2471,43,231,47,12
"6",2421,48,268,52,16
"7",2372,53,304,56,20
"8",2319,58,342,62,23
"9",2263,63,383,68,27
"10",2211,68,418,74,32
"11",2148,73,465,82,36
"12",2080,78,514,91,40
"13",2022,83,553,100,46
"14",1954,88,600,110,52
"15",1873,93,660,121,58
"16",1779,98,729,134,64
"17",1694,102,789,148,71
"18",1607,107,849,163,78
"19",1508,111,921,177,87
"20",1405,115,995,193,96
"21",1307,118,1063,211,106
"22",1223,121,1114,230,116
"23",1127,124,1176,250,127
"24",1028,126,1241,271,138
"25",924,129,1308,292,151
"26",825,131,1368,315,166
"27",713,132,1440,337,182
"28",624,133,1488,360,198
"29",543,133,1527,384,217
"30",471,133,1554,409,237
"31",395,133,1584,432,260
"32",320,131,1612,458,283
"33",260,129,1623,483,308
"34",206,128,1628,507,335
"35",160,125,1623,531,365
"36",130,123,1599,556,396
"37",97,120,1577,580,431
"38",69,116,1550,601,468
"39",46,113,1515,623,507
"40",28,109,1476,642,549
"41",18,106,1426,660,594
"42",9,102,1374,678,642
"43",3,98,1319,692,692
"44",1,94,1260,704,746
"45",0,89,1198,715,801
"46",0,85,1136,723,860
"47",0,81,1073,728,922
"48",0,76,1012,729,987
"49",0,73,950,728,1053
"50",0,68,889,724,1122
"51",0,64,829,717,1194
"52",0,59,768,708,1268
"53",0,56,709,695,1345
"54",0,52,652,678,1422
"55",0,48,598,656,1502
"56",0,44,544,635,1581
"57",0,40,493,609,1662
"58",0,36,444,581,1742
"59",0,33,397,553,1821
"60",0,30,354,520,1901
"61",0,27,313,485,1979
"62",0,24,275,452,2054
"63",0,21,241,414,2128
"64",0,18,208,380,2198
"65",0,15,179,345,2265
"66",0,13,153,310,2328
"67",0,11,129,276,2388
"68",0,9,108,243,2443
"69",0,8,89,212,2494
"70",0,7,73,184,2540
"71",0,5,59,159,2581
"72",0,5,48,135,2617
"73",0,4,38,112,2651
"74",0,3,30,91,2680
"75",0,2,23,75,2704
"76",0,2,17,59,2726
"77",0,1,13,47,2743
"78",0,1,9,37,2757
"79",0,1,7,27,2769
"80",0,1,4,21,2778
"81",0,0,3,15,2786
"82",0,0,2,10,2792
"83",0,0,1,7,2796
"84",0,0,1,4,2798
"85",0,0,0,3,2801
"86",0,0,0,2,2802
"87",0,0,0,1,2803
"88",0,0,0,1,2803
"89",0,0,0,1,2803
"90",0,0,0,0,2804
"91",0,0,0,0,2804
"92",0,0,0,0,2804
"93",0,0,0,0,2804
"94",0,0,0,0,2804
"95",0,0,0,0,2804
"96",0,0,0,0,2803
"97",0,0,0,0,2803
"98",0,0,0,0,2803
"99",0,0,0,0,2803
"100",0,0,0,0,2803
"101",0,0,0,0,2803
"102",0,0,0,0,2803
"103",0,0,0,0,2803
"104",0,0,0,0,2803
"105",0,0,0,0,2803
"106",0,0,0,0,2803
"107",0,0,0,0,2803
"108",0,0,0,0,2803
"109",0,0,0,0,2803
"110",0,0,0,0,2803
"111",0,0,0,0,2803
"112",0,0,0,0,2803
"113",0,0,0,0,2803
"114",0,0,0,0,2803
"115",0,0,0,0,2803
