"","edad","activo","invalidez","sucesion","vejez","muerte"
"1",0,0,0,0,0,0
"2",1,0,0,0,0,0
"3",2,0,0,0,0,0
"4",3,0,0,0,0,0
"5",4,0,0,0,0,0
"6",5,0,0,1,0,0
"7",6,0,0,0,0,0
"8",7,0,0,0,0,0
"9",8,0,0,1,0,0
"10",9,0,0,0,0,0
"11",10,0,0,0,0,0
"12",11,0,0,1,0,0
"13",12,0,0,3,0,0
"14",13,0,0,1,0,0
"15",14,0,0,1,0,0
"16",15,0,0,2,0,0
"17",16,0,0,2,0,0
"18",17,0,0,3,0,0
"19",18,0,0,0,0,0
"20",19,0,0,1,0,0
"21",20,0,0,0,0,0
"22",21,2,0,2,0,0
"23",22,6,0,1,0,0
"24",23,10,0,2,0,0
"25",24,11,0,3,0,0
"26",25,20,0,0,0,0
"27",26,24,0,2,0,0
"28",27,31,0,0,0,0
"29",28,38,0,0,0,0
"30",29,30,0,0,0,0
"31",30,50,0,1,0,0
"32",31,59,0,1,0,0
"33",32,63,0,0,0,0
"34",33,83,0,0,0,0
"35",34,81,0,0,0,0
"36",35,77,0,0,0,0
"37",36,85,0,1,0,0
"38",37,93,0,0,0,0
"39",38,121,0,2,0,0
"40",39,103,0,0,0,0
"41",40,110,1,0,0,0
"42",41,103,0,0,0,0
"43",42,100,0,1,0,0
"44",43,82,0,1,0,0
"45",44,99,0,0,0,0
"46",45,107,0,0,0,0
"47",46,100,0,1,0,0
"48",47,86,1,0,0,0
"49",48,82,0,1,0,0
"50",49,93,0,0,0,0
"51",50,80,0,1,0,0
"52",51,65,0,1,0,0
"53",52,51,1,1,0,0
"54",53,63,0,0,0,0
"55",54,60,1,1,0,0
"56",55,45,2,0,0,0
"57",56,51,1,1,0,0
"58",57,46,4,0,0,0
"59",58,43,1,1,0,0
"60",59,44,2,0,1,0
"61",60,28,0,0,1,0
"62",61,30,0,0,0,0
"63",62,19,3,1,5,0
"64",63,22,1,1,4,0
"65",64,8,1,1,10,0
"66",65,12,2,3,10,0
"67",66,8,0,0,11,0
"68",67,2,0,1,16,0
"69",68,4,0,1,10,0
"70",69,0,0,0,10,0
"71",70,1,1,2,5,0
"72",71,1,0,0,13,0
"73",72,1,0,0,9,0
"74",73,0,0,0,1,0
"75",74,0,0,0,1,0
"76",75,0,0,0,0,0
"77",76,0,0,1,1,0
"78",77,0,0,0,1,0
"79",78,0,0,0,2,0
"80",79,0,0,0,0,0
"81",80,0,0,0,0,0
"82",81,0,0,0,0,0
"83",82,0,1,0,0,0
"84",83,0,0,0,0,0
"85",84,0,0,0,0,0
"86",85,0,0,0,0,0
"87",86,0,0,0,0,0
"88",87,0,0,0,0,0
"89",88,0,0,0,0,0
"90",89,0,0,0,0,0
"91",90,0,0,0,0,0
"92",91,0,0,0,0,0
"93",92,0,0,0,0,0
"94",93,0,0,0,0,0
"95",94,0,0,0,0,0
"96",95,0,0,0,0,0
"97",96,0,0,0,0,0
"98",97,0,0,0,0,0
"99",98,0,0,0,0,0
"100",99,0,0,0,0,0
"101",100,0,0,0,0,0
"102",101,0,0,0,0,0
"103",102,0,0,0,0,0
"104",103,0,0,0,0,0
"105",104,0,0,0,0,0
"106",105,0,0,0,0,0
"107",106,0,0,0,0,0
"108",107,0,0,0,0,0
"109",108,0,0,0,0,0
"110",109,0,0,0,0,0
"111",110,0,0,0,0,0
"112",111,0,0,0,0,0
"113",112,0,0,0,0,0
"114",113,0,0,0,0,0
"115",114,0,0,0,0,0
"116",115,0,0,0,0,0
